name,official_name,capital,population,region,subregion,languages,borders,timezones,flag,map,currencies,famous_places
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
Turkey,Republic of Turkey,Ankara,84339067,Asia,Western Asia,Turkish,"ARM, AZE, BGR, GEO, GRC, IRN, IRQ, SYR",UTC+03:00,https://flagcdn.com/w320/tr.png,https://goo.gl/maps/dXFFraiUDfcB6Quk6,Turkish lira (₺),"[{'name': 'Lists of tourist attractions', 'detail': 'The following lists of tourist attractions include tourist attractions in various countries.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Victoria_Falls_aerial_view_September_2003.jpg/500px-Victoria_Falls_aerial_view_September_2003.jpg'}, {'name': 'Tourism in Denmark', 'detail': 'Tourism in Denmark is a growing industry and a major economic contributor. Tourists spent a total of DKK 128 billion and the tourism industry employed 161,999 people in full time positions in 2017. \nIn 2018, tourists from Denmark\'s neighboring countries, Germany, Norway, and Sweden, comprised the majority of foreign tourists. That year also saw 30 million international arrivals. The number of overnight visitors has been slightly increasing since 2014; in 2018, 16.6 million tourists stayed overnight.  \nDenmark has long stretches of sandy beaches, attracting many tourists in the summer, with Germany accounting for most foreign visitors. Swedish and Norwegian tourists often come to visit the relatively lively city of Copenhagen, while many young Scandinavians come for Denmark\'s comparably cheap and readily accessible beer, wines and spirits.\nAs one of Europe\'s oldest kingdoms and the home of Hans Christian Andersen, Denmark is often marketed as a ""fairytale country"". The term is so ingrained, that it is still used in international news reports, especially when the news is of a nature contradicting the image, such as the Copenhagen riots or the Jyllands-Posten Muhammad cartoons controversy.\nDenmark has a relatively large outbound tourism, with Spain as primary destination, accounting for 14% of all overnight stays abroad of four days or more in 2013. Turkey ranks as the primary destination outside of Europe at 7%.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Helsingoer_Kronborg_Castle.jpg/500px-Helsingoer_Kronborg_Castle.jpg'}, {'name': 'List of World Heritage Sites in Turkey', 'detail': 'The United Nations Educational, Scientific and Cultural Organization (UNESCO) World Heritage Sites are places of importance to cultural or natural heritage as described in the UNESCO World Heritage Convention, established in 1972. Cultural heritage consists of monuments (such as architectural works, monumental sculptures, or inscriptions), groups of buildings, and sites (including archaeological sites). Natural features (consisting of physical and biological formations), geological and physiographical formations (including habitats of threatened species of animals and plants), and natural sites which are important from the point of view of science, conservation or natural beauty, are defined as natural heritage. Turkey accepted the convention on March 16, 1983.\nThere are 22 World Heritage Sites in Turkey, of which 20 are cultural and 2 are mixed, listed for both cultural and natural values. The first sites to be inscribed were Göreme National Park and the Rock Sites of Cappadocia; the Great Mosque and Hospital of Divriği; and the Historic Areas of Istanbul, all at the 9th Session of the World Heritage Committee in 1985. The latest inscription, Sardis and the Lydian Tumuli of Bin Tepe, was added to the list in 2025. In addition, Turkey has 79 sites on its tentative list.', 'image': ''}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
United Kingdom,United Kingdom of Great Britain and Northern Ireland,London,67215293,Europe,Northern Europe,English,IRL,"UTC-08:00, UTC-05:00, UTC-04:00, UTC-03:00, UTC-02:00, UTC, UTC+01:00, UTC+02:00, UTC+06:00",https://flagcdn.com/w320/gb.png,https://goo.gl/maps/FoDtc3UKMkFsXAjHA,British pound (£),"[{'name': 'Tourist attractions in the United States', 'detail': 'This is a list of the most popular individual tourist attractions in the United States, lists of tourist attractions organized by subject region, and a selection of other notable tourist attractions and destinations.\nTimes Square is the most visited public (not privately owned) tourist site in the United States, with about 50 million visitors annually.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Times_Square_%28Tall%29.jpg/500px-Times_Square_%28Tall%29.jpg'}, {'name': 'Tourist attractions in the United Kingdom', 'detail': 'For detailed lists of tourist attractions in the countries of the United Kingdom see:\n\nList of tourist attractions in England\nList of tourist attractions in Northern Ireland\nList of tourist attractions in Scotland\nList of tourist attractions in Wales', 'image': ''}, {'name': 'Lists of tourist attractions', 'detail': 'The following lists of tourist attractions include tourist attractions in various countries.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Victoria_Falls_aerial_view_September_2003.jpg/500px-Victoria_Falls_aerial_view_September_2003.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
North Korea,Democratic People's Republic of Korea,Pyongyang,25778815,Asia,Eastern Asia,Korean,"CHN, KOR, RUS",UTC+09:00,https://flagcdn.com/w320/kp.png,https://goo.gl/maps/9q5T2DMeH5JL7Tky6,North Korean won (₩),"[{'name': 'List of tourist attractions in Pyongyang', 'detail': 'There are many tourist attractions in Pyongyang, the capital of North Korea. Many are unique as remnants of communist iconography and monumentalist and brutalist architecture. Tourists are not allowed to move freely and the authorities control which sights visitors can access.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Laika_ac_Juche_Tower_%287984285747%29.jpg/500px-Laika_ac_Juche_Tower_%287984285747%29.jpg'}, {'name': 'National Treasure (North Korea)', 'detail': 'A National Treasure (Korean: 국보; Hanja: 國寶) is a tangible artifact, site, or building deemed by the Government of North Korea to have significant historical or artistic value to the country.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Myogilsang-naegeumgang.jpg/500px-Myogilsang-naegeumgang.jpg'}, {'name': 'Lists of tourist attractions', 'detail': 'The following lists of tourist attractions include tourist attractions in various countries.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Victoria_Falls_aerial_view_September_2003.jpg/500px-Victoria_Falls_aerial_view_September_2003.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'List of tourist attractions in Mumbai', 'detail': 'Mumbai, India has centuries of history and many sites of tourist interest.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Gateway_of_India_%2C_Hotel_Taj_and_%2COberoi_Hotels_%2C_Mumbai%2C_Mahrashtra%2C_India.jpg/500px-Gateway_of_India_%2C_Hotel_Taj_and_%2COberoi_Hotels_%2C_Mumbai%2C_Mahrashtra%2C_India.jpg'}]"
India,Republic of India,New Delhi,1380004385,Asia,Southern Asia,"English, Hindi, Tamil","BGD, BTN, MMR, CHN, NPL, PAK",UTC+05:30,https://flagcdn.com/w320/in.png,https://goo.gl/maps/WSk3fLwG4vtPQetp7,Indian rupee (₹),"[{'name': 'List of tourist attractions in Vadodara', 'detail': 'This is a list of tourist attractions in Vadodara, a city in Gujarat, India.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Baroda_Museum_exterior.jpg/500px-Baroda_Museum_exterior.jpg'}, {'name': 'Tourism in India', 'detail': ""Tourism in India is 4.6% of the country's gross domestic product (GDP). Unlike other sectors, tourism is not a priority sector for the Government of India. The World Travel and Tourism Council calculated that tourism generated ₹13.2 lakh crore (US$160 billion) or 5.8% of India's GDP and supported 32.1 million jobs in 2021. Even though, these numbers were lower than the pre-pandemic figures; the country's economy witnessed a significant growth in 2021 after the massive downturn during 2020. The sector is predicted to grow at an annual rate of 7.8% to ₹33.8 lakh crore (US$400 billion) by 2031 (7.2% of GDP). India has established itself as the 5th largest global travel healthcare destination with an estimated market size of around $9 billion in 2019, out of the total global travel healthcare industry of $44.8 billion(2019). In 2014, 184,298 foreign patients travelled to India to seek medical treatment.\nAccording to the Ministry of Tourism, over 6.19 million and 1.52 million foreign tourists arrived in India in 2022 and 2021 respectively compared to 10.93 million in 2019, representing a -44% degrowth. In 2022, Gujarat Tops India in Foreign Tourism with 20.17% Share in 2022. Gujarat rose as a global tourism hotspot continues with over 15.40 lakh tourists visiting in 2023. In 2023, 2509.63 million Domestic Tourist Visits (DTVs) were recorded (provisionally) compared to 1731.01 Million DTVs in 2022.\nThe World Economic Forum's Travel and Tourism Development Index 2021, which replaced its previous Travel and Tourism Competitiveness Report, ranks India 54th out of 117 countries overall. The last edition of the Travel and Tourism Competitiveness Report, published in 2019, had ranked India 34th out of 140 countries overall. The report ranked the price competitiveness of India's tourism sector 13th out of 140 countries. It mentioned that India has quite good air transport infrastructure (ranked 33rd), particularly given the country's stage of development, and reasonable ground and port infrastructure (ranked 28th). The country also scored high on natural resources (ranked 14th), and cultural resources and business travel (ranked 8th). The World Tourism Organization reported that India's receipts from tourism during 2012 ranked 16th in the world, and 7th among Asian and Pacific countries.\nThe Ministry of Tourism designs national policies for the development and promotion of tourism. In the process, the Ministry consults and collaborates with other stakeholders in the sector including various central ministries/agencies, state governments, union territories and private sector representatives. Concerted efforts are being made to promote niche tourism products such as rural, cruise, medical and eco-tourism. The Ministry of Tourism maintains the Incredible India campaign focused on promoting tourism in India."", 'image': ''}, {'name': 'List of tourist attractions in Varanasi', 'detail': 'Varanasi is one of the most prominent tourist places in India. The city attracts millions of domestic and international tourists. The temples across the city attract pilgrims. The ghats and the Buddhist site Sarnath attract tourists from abroad. Varanasi is one of the oldest cities in the world, which makes it rich with cultural heritage. The city is home to ghats, temples, and museums.', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg/500px-Ahilya_Ghat_by_the_Ganges%2C_Varanasi.jpg'}]"
